,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
92,4.85,4.84,4.84,4.98,4.95,4.94,4.75,0.81
93,4.89,4.9,4.85,4.96,4.95,4.9,4.83,1.4
94,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
95,4.6,4.53,4.67,4.77,4.7,4.73,4.63,0.22
96,4.86,4.93,4.85,4.92,4.88,4.97,4.78,0.43
97,4.91,5.0,4.92,5.0,4.83,4.92,4.83,0.09
98,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0.02
99,4.92,5.0,4.97,4.94,5.0,4.97,4.79,0.28
100,4.91,5.0,5.0,5.0,5.0,4.73,4.64,0.08
101,4.96,4.99,4.91,4.99,4.97,4.96,4.82,0.51
102,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
103,4.94,4.95,4.99,4.97,4.97,4.92,4.91,2.37
104,4.75,4.8,4.74,4.84,4.92,4.93,4.76,0.82
105,4.64,4.75,4.69,4.86,4.83,4.72,4.42,0.27
106,4.91,4.93,4.97,5.0,4.98,4.91,4.84,0.51
107,4.74,4.7,4.65,4.87,4.93,4.96,4.46,0.38
108,4.71,4.79,4.67,4.96,4.92,4.92,4.58,0.23
109,4.76,4.84,4.74,4.91,4.93,4.77,4.71,2.34
110,4.81,4.89,4.73,4.94,4.94,4.82,4.8,2.15
111,4.91,4.91,4.86,4.86,4.73,4.82,4.77,0.19
112,4.86,4.88,4.92,4.95,4.98,4.93,4.85,0.75
113,4.55,4.84,4.65,4.93,4.9,4.67,4.73,0.28
114,4.88,4.92,4.92,4.9,4.91,4.97,4.81,0.78
115,4.88,4.88,4.9,4.88,4.97,4.9,4.75,1.12
116,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
117,4.83,4.82,4.78,4.95,4.97,4.73,4.73,0.7
118,4.4,4.41,4.22,4.67,4.56,4.92,4.62,0.67
119,4.9,4.94,4.92,5.0,4.98,4.84,4.95,1.55
120,4.48,4.57,4.62,4.76,4.48,4.38,4.52,0.14
121,4.0,4.0,5.0,4.5,4.0,5.0,4.0,0.01
122,4.99,4.96,4.95,4.99,4.99,4.99,4.92,0.72
123,4.89,4.94,4.79,4.97,4.93,4.87,4.88,0.75
124,4.88,4.79,4.81,4.86,4.98,4.73,4.86,0.3
125,4.92,4.88,4.74,4.92,4.94,4.71,4.85,0.43
126,4.94,4.94,5.0,4.98,4.96,4.8,4.86,0.38
127,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.02
128,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
129,4.92,4.92,4.89,4.96,4.95,4.89,4.87,1.87
130,4.83,4.88,4.89,4.78,4.82,4.96,4.75,0.95
131,4.5,4.72,4.5,5.0,4.94,4.83,4.56,0.13
132,4.54,4.5,3.97,4.69,4.63,4.72,4.42,0.25
133,4.54,4.66,4.42,4.9,4.94,4.69,4.59,0.37
134,4.92,4.75,4.79,4.92,4.79,5.0,4.63,0.19
135,4.59,4.68,4.59,4.88,4.82,4.95,4.39,0.53
136,4.79,4.84,4.84,4.9,4.93,4.8,4.77,3.74
137,4.9,5.0,4.89,5.0,5.0,5.0,4.78,0.07
138,4.67,4.67,4.0,4.67,5.0,5.0,4.67,0.02
139,4.71,4.73,4.73,4.81,4.84,4.84,4.71,0.27
140,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
141,4.82,4.86,4.55,5.0,5.0,4.95,4.91,0.16
142,4.62,4.72,4.62,4.84,4.71,4.93,4.56,3.04
143,4.8,4.9,4.8,4.9,5.0,4.9,4.7,1.0
144,4.95,4.95,4.98,4.98,4.93,4.98,4.83,1.89
145,5.0,5.0,5.0,5.0,5.0,4.67,4.67,0.02
146,4.9,4.92,4.96,4.93,4.95,4.89,4.79,2.36
147,4.39,4.49,4.23,4.86,4.78,4.85,4.36,1.93
148,4.52,4.55,4.29,4.75,4.84,4.92,4.53,0.84
149,4.82,4.84,4.78,4.92,4.92,4.84,4.82,2.56
150,4.62,4.57,4.54,4.85,4.88,4.92,4.49,0.65
151,5.0,4.75,4.5,5.0,5.0,4.75,5.0,0.03
152,4.68,4.74,4.48,4.93,4.92,4.7,4.72,0.5
153,4.67,4.48,4.75,4.83,4.79,4.7,4.45,0.17
154,4.81,4.85,4.69,4.97,4.9,4.98,4.71,0.42
155,5.0,4.92,4.92,4.92,5.0,4.83,4.92,0.09
156,4.0,3.5,4.0,3.5,4.0,4.0,4.0,0.02
157,4.92,4.94,4.95,4.97,4.95,4.89,4.86,0.75
158,4.94,4.94,4.92,4.99,4.97,4.95,4.9,1.05
159,4.73,4.74,4.79,4.94,4.93,4.77,4.76,1.6
160,4.96,4.92,4.89,4.99,4.98,4.98,4.73,1.2
161,4.9,4.95,4.79,4.94,4.92,4.92,4.75,0.47
162,5.0,5.0,5.0,5.0,5.0,4.97,4.97,0.3
163,4.94,4.95,4.92,4.89,4.98,4.91,4.82,0.72
164,4.38,4.58,4.52,4.72,4.6,4.53,4.46,1.83
165,5.0,5.0,4.3,5.0,5.0,5.0,4.9,0.1
166,4.71,4.75,4.58,4.91,4.9,4.94,4.66,0.85
167,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
168,4.8,4.85,4.7,4.85,4.9,4.9,4.75,0.18
