,host_listings_count,host_total_listings_count,bathrooms,bedrooms,beds
9424,21.0,23.0,1.0,1.0,2.0
9425,66.0,89.0,1.0,1.0,1.0
9426,1.0,3.0,1.0,1.0,1.0
9427,1.0,2.0,1.0,1.0,1.0
9428,3.0,4.0,1.0,2.0,4.0
9429,9.0,16.0,2.0,2.0,3.0
9430,1.0,2.0,1.0,1.0,1.0
9431,2.0,2.0,1.0,1.0,1.0
9432,1.0,1.0,1.0,1.0,1.0
9433,15.0,15.0,1.0,2.0,3.0
9434,1.0,1.0,2.0,3.0,2.0
9435,1.0,2.0,1.0,1.0,1.0
9436,1.0,1.0,1.0,2.0,7.0
9437,4.0,4.0,2.0,2.0,3.0
9438,4.0,4.0,2.0,2.0,2.0
9439,1.0,4.0,1.0,1.0,1.0
9440,60.0,97.0,2.0,2.0,2.0
9441,26.0,31.0,1.5,4.0,2.3
9442,26.0,31.0,1.5,2.0,2.3
9443,1.0,1.0,1.0,1.0,1.0
9444,1.0,1.0,2.5,4.0,4.0
9445,26.0,28.0,2.0,2.0,3.0
9446,12.0,12.0,1.0,0.0,1.0
9447,1.0,1.0,1.0,2.0,2.0
9448,1.0,1.0,1.0,1.0,1.0
9449,237.0,354.0,2.0,4.0,6.0
9450,51.0,101.0,3.0,4.0,5.0
9451,109.0,115.0,2.0,3.0,4.0
9452,1.0,1.0,1.0,2.0,1.0
9453,1.0,9.0,1.0,1.0,1.0
9454,4.0,5.0,1.5,1.0,2.3
9455,1.0,2.0,1.5,3.0,3.0
9456,1.0,2.0,1.0,1.0,1.0
9457,1.0,1.0,1.0,2.0,5.0
9458,18.0,27.0,1.0,1.0,1.0
9459,54.0,59.0,2.0,2.0,2.0
9460,0.0,0.0,1.0,3.0,3.0
9461,1.0,1.0,2.5,3.0,3.0
9462,60.0,97.0,1.0,1.0,1.0
9463,4.0,12.0,1.5,3.0,4.0
9464,21.0,23.0,1.5,2.0,2.3
9465,2.0,2.0,2.5,4.0,3.0
9466,8.0,17.0,2.0,2.0,2.0
9467,2.0,8.0,1.0,1.0,1.0
9468,2.0,2.0,3.5,4.0,5.0
9469,1.0,2.0,1.5,2.0,2.3
9470,1.0,1.0,2.0,4.0,6.0
9471,1.0,1.0,1.0,1.0,1.0
9472,22.0,24.0,1.0,2.0,3.0
9473,13.0,16.0,1.5,1.0,1.0
9474,31.0,131.0,2.0,2.0,3.0
9475,17.0,18.0,1.0,2.0,2.0
9476,9.0,21.0,1.0,1.0,1.0
9477,1.0,1.0,1.0,1.0,2.0
9478,7.0,10.0,1.0,1.0,2.0
9479,63.0,238.0,1.0,1.0,1.0
9480,1.0,1.0,2.0,2.0,4.0
9481,3.0,4.0,1.0,2.0,3.0
9482,237.0,354.0,1.5,3.0,2.3
9483,1.0,1.0,1.0,1.0,4.0
9484,1.0,1.0,2.5,4.0,4.0
9485,9.0,12.0,3.0,5.0,7.0
9486,9.0,12.0,2.0,5.0,6.0
9487,1.0,1.0,1.0,2.0,2.0
9488,1.0,1.0,1.0,2.0,3.0
9489,1.0,1.0,1.0,3.0,4.0
9490,2.0,2.0,1.0,2.0,2.0
9491,31.0,131.0,1.0,2.0,2.0
9492,21.0,23.0,2.0,2.0,3.0
9493,30.0,39.0,1.0,2.0,3.0
9494,3.0,3.0,1.0,2.0,3.0
9495,1.0,3.0,1.0,2.0,2.0
9496,2.0,2.0,1.0,2.0,1.0
9497,7.0,8.0,1.0,2.0,3.0
9498,1.0,1.0,2.0,2.0,3.0
9499,54.0,59.0,1.0,1.0,2.0
9500,22.0,24.0,1.0,3.0,5.0
9501,1.0,4.0,1.5,1.0,2.3
9502,1.0,4.0,2.0,2.0,2.0
9503,1.0,2.0,2.0,3.0,4.0
9504,2.0,2.0,2.0,2.0,4.0
9505,31.0,67.0,1.0,1.0,1.0
9506,1.0,1.0,1.0,1.0,2.0
9507,1.0,1.0,1.0,1.0,1.0
9508,1.0,1.0,2.0,4.0,4.0
9509,1.0,2.0,1.0,1.0,1.0
9510,15.0,20.0,1.5,2.0,3.0
9511,28.0,35.0,1.0,2.0,2.0
9512,1.0,3.0,2.0,3.0,4.0
9513,17.0,31.0,1.0,1.0,2.0
9514,31.0,131.0,1.0,1.0,1.0
9515,1.0,1.0,1.0,1.0,1.0
9516,17.0,17.0,1.0,0.0,1.0
9517,1.0,1.0,2.0,4.0,4.0
9518,1.0,2.0,1.0,1.0,1.0
9519,1.0,1.0,1.0,2.0,2.0
9520,1.0,1.0,1.0,1.0,1.0
9521,41.0,50.0,3.0,4.0,5.0
9522,1.0,4.0,1.0,1.0,1.0
9523,5.0,6.0,1.5,1.0,1.0
9524,13.0,16.0,1.0,1.0,1.0
9525,1.0,1.0,1.0,1.0,2.0
9526,1.0,1.0,1.0,1.0,1.0
9527,35.0,42.0,2.0,2.0,3.0
9528,1.0,1.0,1.0,2.0,2.0
9529,1.0,1.0,1.5,1.0,2.3
9530,1.0,3.0,1.0,1.0,2.0
9531,1.0,1.0,1.5,4.0,2.3
9532,1.0,5.0,3.5,4.0,5.0
9533,46.0,132.0,1.5,3.0,2.3
9534,1.0,1.0,1.0,2.0,4.0
9535,1.0,1.0,1.5,1.0,2.3
9536,17.0,17.0,1.0,0.0,2.0
9537,1.0,1.0,1.5,1.0,1.0
9538,5.0,5.0,4.5,8.0,12.0
9539,9.0,28.0,1.5,2.0,2.0
9540,1.0,1.0,1.5,3.0,3.0
9541,89.0,216.0,2.5,4.0,4.0
9542,76.0,110.0,3.5,4.0,4.0
9543,3.0,6.0,1.5,3.0,3.0
9544,1.0,1.0,1.0,1.0,2.0
9545,1.0,1.0,1.0,2.0,2.0
9546,1.0,1.0,2.0,3.0,3.0
9547,1.0,1.0,1.0,1.0,1.0
9548,4.0,4.0,1.0,1.0,2.0
9549,1.0,1.0,1.0,1.0,1.0
9550,30.0,33.0,4.0,4.0,4.0
9551,4.0,6.0,1.0,2.0,2.0
9552,58.0,189.0,4.5,4.0,4.0
9553,1.0,1.0,2.0,2.0,6.0
9554,12.0,21.0,2.5,3.0,3.0
9555,842.0,921.0,1.0,2.0,2.0
9556,1.0,1.0,1.5,2.0,4.0
9557,842.0,921.0,1.0,0.0,0.0
9558,842.0,921.0,1.0,0.0,0.0
9559,842.0,921.0,1.0,0.0,0.0
9560,10.0,10.0,1.0,0.0,1.0
9561,10.0,10.0,1.0,0.0,1.0
9562,10.0,10.0,1.0,1.0,1.0
9563,10.0,10.0,1.0,1.0,1.0
9564,10.0,10.0,1.0,1.0,1.0
9565,10.0,10.0,1.0,1.0,1.0
9566,10.0,10.0,1.0,1.0,1.0
9567,10.0,10.0,1.0,2.0,2.0
9568,87.0,197.0,5.0,7.0,7.0
