,Country/City,File Name,Description
0,Sydney,listings.csv.gz,Detailed Listings data
1,Sydney,calendar.csv.gz,Detailed Calendar Data
2,Sydney,reviews.csv.gz,Detailed Review Data
3,Sydney,listings.csv,Summary information and metrics for listings in Sydney (good for visualisations).
4,Sydney,reviews.csv,Summary Review data and Listing ID (to facilitate time based analytics and visualisations linked to a listing).
5,Sydney,neighbourhoods.csv,Neighbourhood list for geo filter. Sourced from city or open source GIS files.
6,Sydney,neighbourhoods.geojson,GeoJSON file of neighbourhoods of the city.
